42171,42171,09100,09099,43098,09247,05140,06463,06966,06419,11479,19034,06044,11179,11774,11859,11474,20016,11872,11502,06009,20014
42178,42178,11752,11453,11923,35179,43215,04640,04016,11113,12147,43016,16157,11826,11345,36617,18274,11141,04114,19905,11196,11778
42181,42181,19312,14545,09019,09012,11209,19366,09252,06430,03120,20410,06043,11735,06443,01067,07080,19294,19263,11026,03098,09272
42182,42182,20646,19083,16072,16372,19349,20481,16123,12179,22908,20129,16424,19866,12117,20624,20635,20629,14181,20068,11288,11806
42184,42184,18155,08227,43528,08429,08434,08123,08428,08424,18953,18238,09237,03077,04020,06426,09326,08129,08423,11813,06015,06192
42148,42148,19127,03965,01015,18021,09085,03956,19140,14346,19038,09307,19161,03096,16056,11444,25032,07008,15177,16011,01174,01116
42192,42192,06179,16057,16357,19201,18252,16010,03304,16084,16384,08220,18174,07016,09087,16137,12014,16053,16353,20131,12016,12516
42193,42193,04544,04513,04651,04652,04034,04528,23608,19230,42140,04058,04654,04543,09286,09442,01206,21138,11626,19009,44005,43019
42196,42196,19100,19104,01013,16085,19101,19103,25040,15166,09089,19524,06483,15149,18320,11533,11715,05087,11040,11716,19148,02054
42200,42200,19074,01120,01121,01175,12029,12529,01088,19115,01119,11382,09310,25038,16062,42227,06959,06094,16147,19109,02021,07011
42227,42227,43364,11382,09310,19096,21413,12029,12529,19109,19115,21028,42200,21412,01116,07953,01117,01119,01174,19074,19152,16080
42230,42230,12087,11141,12588,12086,12586,12085,12585,18235,15155,36617,09259,19404,11298,18949,19039,19411,19076,18167,11007,16028
42240,42240,08002,08029,08305,08034,08584,08046,08039,42100,08015,08053,08242,08076,03206,08128,08410,08130,08025,08436,08132,01002
42261,42261,42265,08192,43245,08060,08544,42297,13323,18951,06468,01053,11812,11306,11643,25027,06027,01017,08468,09026,08484,09036
42265,42265,42261,08192,43245,08544,08060,42297,13323,11643,18951,06468,25027,06027,11812,11306,01017,01053,09026,08484,09036,08061
42297,42297,08544,43245,08192,42265,42261,03050,18401,08484,09033,09063,18237,06018,08061,09027,09036,09026,11810,11303,06027,01017
43015,43015,04639,11453,04539,42178,04016,11752,04135,11110,11751,43016,12147,04114,11113,04582,11141,11923,04053,42230,11983,18274
43016,43016,04016,04114,11983,11196,11778,04539,12147,43215,04640,36618,42178,11752,09050,35179,09055,09132,09054,11453,09352,11043
43019,43019,04027,04551,04029,04666,04031,04548,04554,04615,42193,04513,04651,04652,04034,04654,04543,04544,11044,11718,44005,09286
43021,43021,16120,16166,06119,02047,20641,06112,16082,10099,12119,19142,11283,11805,20420,43142,06045,16034,43132,20068,11290,11807
43026,43026,14049,19868,19163,18372,14352,14355,43158,19337,19351,14037,14550,14551,14034,14050,04047,19283,14628,19335,19336,14155
43046,43046,06176,19068,43130,16172,19124,11890,11567,43128,43142,20444,19069,16029,06175,14290,16328,19080,16103,19085,20130,05190
43059,43059,14311,01214,19132,01095,18270,21020,01096,03216,19120,03685,19134,42074,21398,01164,19279,16115,01168,14634,09309,03694
25032,25032,16056,19140,16052,16062,01015,19160,03965,06959,09085,01088,01199,03956,19150,21202,01175,19161,19109,12029,12529,14346
25033,25033,06174,09020,20089,03289,20522,20032,06528,44203,11911,11912,06485,20320,06489,06116,20316,10173,01074,19300,19365,04518
25034,25034,01168,35193,12166,18270,35192,14311,43059,01186,16129,03216,01095,18295,14557,25035,08503,01214,01164,02026,08092,16055
25035,25035,35192,08503,02026,14557,16129,16121,18295,12166,16055,12195,12695,01186,19071,35193,12065,12565,18267,16118,16417,08092
25036,25036,19039,18252,18167,20063,09087,18226,08388,08200,16053,16353,06179,19076,20012,20080,19367,20075,14175,18949,20011,19019
25037,25037,18236,18457,25046,18228,18080,18012,08090,20084,20645,20634,20628,20640,18029,19047,18030,19814,18272,20047,20083,18013
25038,25038,16147,06094,20019,01060,01151,14192,18076,14228,44260,48052,16040,15152,01120,44061,08054,19074,01121,16014,19355,06958
25039,25039,01007,08433,15012,08431,08432,08510,01004,08262,11192,43541,01026,08426,22956,01046,11955,01027,01020,01006,01054,19089
43098,43098,06463,09099,09100,42171,20016,05140,20014,20020,20422,06966,06419,19719,20018,06412,11179,11774,09247,06461,11479,11859
43128,43128,43130,19124,19069,16172,19068,43046,06176,08114,19235,16029,11890,11567,19019,20130,05190,19233,08144,19080,16103,06175
43130,43130,43128,06176,19124,43046,19069,16172,19068,20130,11890,11567,08114,05190,20444,16029,43142,14368,05184,08546,05194,06175
43132,43132,20641,06112,10099,16082,12108,05166,20444,20036,02047,05200,20420,12119,43142,19142,16328,16034,05196,16120,23611,20629
43135,43135,06179,16097,16397,20012,16098,16398,43393,08388,08148,09087,20080,20063,20075,08144,20131,08200,19201,20011,16167,18226
43142,43142,20444,14290,06112,16082,10099,02047,06176,16328,12108,20641,12119,16120,43046,43132,16034,16166,11290,11807,11890,11567
43143,43143,04017,11937,07006,11941,11946,43599,04018,11001,20112,19444,11109,25040,43329,04030,09042,18286,02054,18324,11110,11751
